year,Urban,Grass,Forest,Bare Soil,Water Bodies,Coastal Areas,Wetland
2014,17803542.960000005,55118586.18,252872000.42999998,123424132.23,72883891.29,4204464.04,15855112.07
2015,21052910.480000004,29732052.7,199208152.01,200671387.07000002,74670023.75,4272442.4399999995,12554760.75
2016,23947090.860000003,40608596.699999996,211652447.86,171153466.33,73882324.03999999,4485724.67,16432078.74
2017,41028363.31999999,112892578.61000001,190740592.55999997,104551628.93,74310587.96,5536840.68,13101137.14
2018,45933004.879999995,194168403.38000003,162100442.91,49434742.21,71265155.64,6242116.58,13017863.6
2019,59519337.85,219769068.82000002,126569832.69,43288645.12,71695968.74999999,6678877.800000001,14639998.169999998
2020,34964690.04000001,174362896.54000002,185799412.61,51821633.78000001,74461839.9,5963405.14,14787851.19
2021,33985801.08,130994376.80000001,190742292.01999998,89451926.83,73844935.91999999,5555534.739999999,17586861.810000002
2022,26857416.11,59828639.57,234516982.70000002,127736511.98,75690549.47999999,4482325.75,13049303.61
2023,25895521.750000004,55409193.839999996,251993379.60999998,113455949.6,74130445.2,4555402.53,16721836.67
